state, stusps,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Num Eligible,Num Ineligible,Percentage Eligible,Medicaid expansion (1),Party,ACP Participation July 23 (2),Avg claim $ Jan-Jul 2023 (3),Total dif,Weighed dif,Saving in $
01, AL,911822,1055721,46.34,760882,1206660,38.67,NO,Republican,0.40805113278688165,32.36473978407499,150940,61591.23798285192,1993384.3902940382
02, AK,106704,164595,39.33,95220,176079,35.1,YES,Republican,0.1815114709851552,66.45711649543122,11484,2084.477732793522,138528.37952039146
04, AZ,1174568,1643126,41.69,1007429,1810265,35.75,YES,Democrat + Independent,0.36969592224545533,37.05534395563922,167139,61790.606748183156,2289672.186281569
05, AR,600752,582813,50.76,510122,673443,43.1,YES,Republican,0.31460902335739205,33.55282112076893,90630,28513.01578688044,956692.1183108601
06, CA,6013704,7415330,44.78,5507051,7921982,41.01,YES,Democrat,0.3887507599309843,33.027834567416924,506653,196961.738771313,6505219.724249713
08, CO,824852,1488185,35.66,716515,1596529,30.98,YES,Democrat,0.25822450572951267,33.27065476474206,108337,27975.268277218212,930755.4928023675
09, CT,568632,859687,39.81,518167,910153,36.28,YES,Democrat,0.2870837378128561,33.11529188315568,50465,14487.680828725785,479763.7793532531
10, DE,150742,244926,38.1,132673,262997,33.53,YES,Democrat,0.2923869923445357,37.3588928526845,18069,5283.140564673416,197372.2822813052
12, FL,3685918,4879423,43.03,3116540,5448796,36.39,NO,Republican,0.3835587226845524,33.32730013975371,569378,218389.89840468505,7278345.691623258
13, GA,1665435,2335679,41.62,1419513,2581594,35.48,NO,Democrat,0.38856695097677185,33.27985319705536,245922,95557.16171810968,3180128.3139059683
15, HI,207027,283055,42.24,190545,299539,38.88,YES,Democrat,0.23226439063503795,32.02070284901566,16482,3828.1816864466955,122581.06823375329
16, ID,287136,406735,41.38,240051,453825,34.6,YES,Republican,0.15385392287975036,35.40100510895165,47085,7244.211958793046,256452.38456356127
17, IL,2000692,2990960,40.08,1750733,3240927,35.07,YES,Democrat,0.29696075157995333,34.51304589232248,249959,74228.01250417356,2561834.802052429
18, IN,1099146,1581549,41.0,925689,1755003,34.53,YES,Republican,0.33797511886500975,33.056022648902626,173457,58624.150192967994,1937881.2365514194
19, IA,497487,802975,38.25,423553,876910,32.57,YES,Republican,0.21367794535334592,34.583186307792246,73934,15798.065211754278,546347.4325207495
20, KS,449522,709501,38.78,361108,797914,31.16,NO,Republican,0.2563878964767019,31.634288256525583,88414,22668.27947909112,717094.8873210521
21, KY,873763,911924,48.93,769628,1016059,43.1,YES,Republican,0.4671323917355164,32.429403238195825,104135,48644.831613378,1577522.8598443712
22, LA,948326,835601,53.16,851845,932084,47.75,YES,Republican,0.5090443581637538,34.13144572961346,96481,49113.10871999713,1676301.4048891875
23, ME,236145,357485,39.78,196413,397215,33.09,YES,Republican + Independent,0.3737322407842639,31.38385185457831,39732,14849.129390840375,466022.876971599
24, MD,857197,1498443,36.39,779913,1575726,33.11,YES,Democrat,0.28296995906425243,35.15150772694214,77284,21869.050316321685,768730.0911750683
25, MA,1116919,1642044,40.48,1031184,1727789,37.38,YES,Democrat,0.29063163935791225,34.17577685784042,85735,24917.303600350606,851568.207744646
26, MI,1729801,2321999,42.69,1503186,2548617,37.1,YES,Democrat,0.41776655233752324,34.50820347803168,226615,94672.16725796783,3266966.4114442025
27, MN,802896,1478112,35.2,699034,1581973,30.65,YES,Democrat,0.2720950160419282,33.23995030189668,103862,28260.332556146746,939372.0496813905
28, MS,576706,552902,51.05,493501,636107,43.69,YES,Republican,0.38471768977607307,34.271545176930694,83205,32010.43537781816,1097047.0821841157
29, MO,965580,1503128,39.11,787151,1681560,31.89,NO,Republican,0.3541850494003604,32.3912243545274,178429,63196.8841794569,2047024.4539638718
30, MT,182814,266128,40.72,151809,297132,33.81,YES,Democrat + Republican,0.2679280580261906,33.648526124447805,31005,8307.109439102038,279521.98898027185
31, NE,281387,504595,35.8,228402,557578,29.06,YES,Republican,0.303176763674228,30.751567988850223,52985,16063.820823278971,493987.6782077712
32, NV,531329,660048,44.6,455761,735618,38.25,YES,Democrat,0.4275185431248812,33.693107600649505,75568,32306.721266861023,1088513.8358685402
33, NH,169755,378270,30.98,144262,403771,26.32,YES,Democrat,0.20620305734735353,32.12724269150172,25493,5256.734540956084,168884.386362096
34, NJ,1268437,2229507,36.26,1120866,2377080,32.04,YES,Democrat,0.21821895766206756,35.25442299867673,147571,32202.78980114897,1135290.7733871788
35, NM,442228,391774,53.02,396536,437466,47.55,YES,Democrat,0.3799171468111472,39.859784209386504,45692,17359.174272094937,691932.9405388383
36, NY,3448259,4204186,45.06,3160615,4491828,41.3,YES,Democrat,0.42345282068429313,33.30091123309959,287644,121803.6631529128,4056172.9745215126
37, NC,1753491,2426154,41.95,1487744,2691889,35.6,YES,Republican,0.46559862582699313,31.754005458516833,265747,123731.43801764594,3928968.758202466
38, ND,109296,213207,33.89,78895,243608,24.46,YES,Republican,0.13254830917874397,34.89359448437502,30401,4029.6011473429953,140607.2683691588
39, OH,2004934,2828008,41.48,1713753,3119185,35.46,YES,Democrat + Republican,0.5080820615541459,31.917905120841112,291181,147943.84276539777,4722057.536598602
40, OK,725560,822408,46.87,607697,940264,39.26,YES,Republican,0.4167939246926512,55.517678973390275,117863,49124.582346049945,2727282.792389876
41, OR,745083,957500,43.76,671238,1031345,39.42,YES,Democrat,0.25488972369521246,32.52966718937397,73845,18822.331646272964,612284.1841812809
42, PA,2115720,3113235,40.46,1827296,3401651,34.95,YES,Democrat,0.3129445295218649,34.20741436764292,288424,90260.71298281437,3087585.610122018
44, RI,190041,250140,43.17,173829,266357,39.49,YES,Democrat,0.37410348293263035,33.26642642229192,16212,6064.965665303803,201759.73405855574
45, SC,890673,1159173,43.45,748796,1301061,36.53,NO,Republican,0.41158764215374216,32.11385416034863,141877,58394.819905846474,1875282.7301761769
46, SD,121432,235454,34.03,94667,262219,26.53,YES,Republican,0.1714128071677976,41.96304729034746,26765,4587.863783846103,192520.74492320645
47, TN,1200938,1569465,43.35,1003132,1767269,36.21,NO,Republican,0.3287471959418388,32.376960115254,197806,65028.16784047137,2105414.3965389845
48, TX,4536368,6259834,42.02,3827046,6969149,35.45,NO,Republican,0.3349503391259263,32.55701148332192,709322,237587.6444494803,7735143.668637137
49, UT,361325,740176,32.8,286219,815280,25.98,YES,Republican,0.16740330727184669,35.806145111927925,75106,12572.992795959317,450190.4045433437
50, VT,116455,153701,43.11,104174,165982,38.56,YES,Democrat + Independent,0.1877463397879009,32.18800401353212,12281,2305.7127989352107,74216.29282617895
51, VA,1142640,2188816,34.3,981000,2350458,29.45,YES,Democrat,0.3433951200728138,34.285654888906045,161640,55506.38720856963,1903072.8359630073
53, WA,1139413,1882850,37.7,1026925,1995340,33.98,YES,Democrat,0.26063683668696075,33.51076363679798,112488,29318.516485242842,982485.8761185381
54, WV,360464,361725,49.91,316771,405418,43.86,YES,Democrat + Republican,0.3081472768431799,34.67066775199152,43693,13463.878967109058,466801.67432166496
55, WI,892049,1557930,36.41,761575,1688399,31.09,NO,Democrat + Republican,0.42885648658313613,32.29124405158115,130474,55954.6212304481,1806844.3299661838
56, WY,84623,158136,34.86,67576,175183,27.84,NO,Republican,0.22768041785330229,31.62121197093951,17047,3881.268083145244,122730.40077317783
72,PR,934092,231895,80.11,850733,315253,72.96,YES,,0.6503417222286456,32.665586972785725,83359,54211.83562325767,1770861.4315058868
